vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1007207,0,496,0,1
1007208,0,496,0,1
1007209,0,495,0,1
1007210,0,497,0,1
1007211,0,489,0,1
1007212,0,339,0,1
1007297,0,3,0,1
1007329,0,94,0,1
1007348,0,38,0,1
1007349,0,48,0,1
1007358,0,5,0,1
1007381,0,452,0,1
1007382,0,499,0,1
1007383,0,494,0,1
1007384,0,501,0,1
1007385,0,493,0,1
1007386,0,496,0,1
1007387,0,504,0,1
1007388,0,490,0,1
1007389,0,497,0,1
1007390,0,505,0,1
1007391,0,505,0,1
1007392,0,497,0,1
1007393,0,501,0,1
1007394,0,504,0,1
1007395,0,499,0,1
1007396,0,501,0,1
1007397,0,498,0,1
1007398,0,504,0,1
1007399,0,10,0,1
1007416,0,282,0,1
1007417,0,499,0,1
1007418,0,176,0,1
1007422,0,202,0,1
1007423,0,503,0,1
1007424,0,500,0,1
1007425,0,500,0,1
1007426,0,501,0,1
1007427,0,497,0,1
1007428,0,498,0,1
1007429,0,497,0,1
1007430,0,498,0,1
1007431,0,501,0,1
1007432,0,499,0,1
1007433,0,491,0,1
1007434,0,497,0,1
1007435,0,500,0,1
1007436,0,499,0,1
1007437,0,503,0,1
1007438,0,496,0,1
1007439,0,491,0,1
1007440,0,503,0,1
1007441,0,499,0,1
1007442,0,496,0,1
1007443,0,497,0,1
1007444,0,501,0,1
1007445,0,495,0,1
1007446,0,496,0,1
1007447,0,497,0,1
1007448,0,500,0,1
1007449,0,497,0,1
1007450,0,505,0,1
1007451,0,493,0,1
1007452,0,500,0,1
1007453,0,496,0,1
1007454,0,499,0,1
1007455,0,497,0,1
1007456,0,499,0,1
1007457,0,501,1,1
1007458,0,496,0,1
1007459,0,499,0,1
1007460,0,506,0,1
1007461,0,493,1,1
1007462,0,498,0,1
1007463,0,505,0,1
1007464,0,497,0,1
1007465,0,499,0,1
1007466,0,501,0,1
1007467,0,496,0,1
1007468,0,505,0,1
1007469,0,501,0,1
1007470,0,499,0,1
1007471,0,495,0,1
1007472,0,295,0,1
1007537,0,29,0,1
1007538,0,494,0,1
1007539,0,379,0,1
1007583,0,75,0,1
1007584,0,11,0,1
1007592,0,60,0,1
1007593,0,500,0,1
1007594,0,394,0,1
1007753,0,0,0,1
1007754,0,503,0,1
1007755,0,437,0,1
100778,0,19,0,1
100780,0,188,0,1
100781,0,492,0,1
100782,0,501,0,1
100783,0,502,0,1
100784,0,495,0,1
100785,0,497,0,1
100786,0,501,0,1
1007866,0,118,0,1
1007867,0,502,0,1
1007868,0,300,0,1
100787,0,500,0,1
100788,0,496,0,1
100789,0,500,0,1
100790,0,501,0,1
100791,0,498,0,1
100792,0,497,0,1
100793,0,497,0,1
100794,0,499,0,1
100795,0,502,0,1
100796,0,497,0,1
100797,0,499,0,1
100798,0,497,0,1
100799,0,500,0,1
100800,0,497,0,1
100801,0,504,0,1
100802,0,499,0,1
100803,0,500,0,1
100804,0,497,0,1
100805,0,496,0,1
100806,0,498,0,1
100807,0,505,0,1
100808,0,501,0,1
1008088,0,353,0,1
1008089,0,488,0,1
100809,0,498,0,1
1008090,0,93,0,1
100810,0,495,0,1
100811,0,502,0,1
1008117,0,460,0,1
1008118,0,485,0,1
100812,0,502,0,1
100813,0,501,0,1
100814,0,507,0,1
100815,0,495,0,1
100816,0,504,0,1
100817,0,503,0,1
100818,0,504,0,1
100819,0,501,0,1
100820,0,499,0,1
100821,0,502,0,1
100822,0,501,0,1
100823,0,500,0,1
100824,0,499,0,1
1008244,0,87,0,1
100825,0,502,0,1
100826,0,498,0,1
100827,0,505,0,1
100828,0,499,0,1
1008283,0,86,0,1
100829,0,506,0,1
100830,0,234,0,1
1008412,0,101,0,1
1008468,0,115,0,1
1008531,0,127,0,1
1008532,0,490,0,1
1008533,0,334,0,1
1008546,0,134,0,1
1008547,0,499,0,1
1008548,0,333,0,1
1008614,0,378,0,1
1008615,0,493,0,1
1008616,0,499,0,1
1008617,0,497,0,1
1008618,0,492,0,1
1008619,0,489,0,1
1008620,0,122,0,1
1008681,0,478,0,1
1008682,0,497,0,1
1008683,0,500,0,1
1008684,0,497,0,1
1008685,0,492,0,1
1008686,0,446,0,1
1008753,0,27,0,1
1008857,0,188,0,1
1008858,0,496,0,1
1008859,0,487,0,1
1008860,0,494,0,1
1008861,0,494,0,1
1008862,0,490,0,1
1008863,0,331,0,1
10090,0,0,0,1
1009047,0,30,0,1
1009062,0,298,0,1
1009105,0,89,0,1
1009115,0,100,0,1
1009116,0,503,0,1
1009117,0,500,0,1
1009118,0,503,0,1
1009119,0,499,0,1
1009120,0,502,0,1
1009121,0,491,1,1
1009122,0,498,0,1
1009123,0,499,0,1
1009124,0,506,0,1
1009125,0,500,0,1
1009126,0,493,0,1
1009127,0,499,0,1
1009128,0,497,0,1
1009129,0,500,0,1
1009130,0,501,0,1
1009131,0,496,0,1
1009132,0,499,0,1
1009133,0,419,0,2
1009134,0,499,0,1
1009135,0,496,0,1
1009136,0,497,0,1
1009137,0,490,1,1
1009138,0,490,0,1
1009139,0,279,0,1
1009207,0,87,0,1
1009218,0,295,0,1
1009274,0,20,0,1
1009275,0,6,0,1
1009352,0,81,0,1
1009455,0,23,0,1
1009456,0,248,0,1
100956,0,431,0,1
100957,0,498,0,1
100958,0,33,0,1
1009612,0,240,0,1
1009613,0,56,0,1
1009732,0,349,0,1
1009733,0,494,0,1
1009734,0,506,0,1
1009735,0,497,0,1
1009736,0,500,0,1
1009737,0,499,0,1
1009738,0,492,0,1
1009739,0,491,0,1
1009740,0,497,0,1
1009741,0,500,0,1
1009742,0,498,0,1
1009743,0,497,0,1
1009744,0,497,0,1
1009745,0,499,0,1
1009746,0,492,0,1
1009747,0,501,0,1
1009748,0,500,0,1
1009749,0,476,0,1
1009760,0,0,0,1
1009833,0,3,0,1
1009834,0,497,0,1
1009835,0,487,0,1
1009836,0,497,0,1
1009837,0,489,0,1
1009838,0,496,0,1
1009839,0,395,0,1
1009906,0,293,0,1
1009929,0,380,0,1
1009930,0,500,0,1
1009931,0,496,0,1
1009932,0,499,0,1
1009933,0,502,0,1
1009934,0,497,0,1
1009935,0,56,0,1
1009983,0,201,0,1
1009984,0,499,0,1
1009985,0,501,0,1
1009986,0,493,0,1
1009987,0,501,0,1
1009988,0,501,0,1
1009989,0,497,0,1
1009990,0,495,0,1
1009991,0,497,0,1
